controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,curvy,1700.0,0.05,0.1,1.0,153,1627,70.0,0.3761276854375852,0.5556464816724789,1.1505621253344889,1.3494057025612844,2.0075095583717686,1.2213369187946674,0.01949171878231243,0.1600000038743019,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
pid,ground_truth,curvy,1700.0,0.05,0.1,1.0,153,1627,70.0,0.1915753801641472,0.28239636518576033,0.7993423407388593,1.8915690700494514,2.8150056612964343,2.623550699107037,0.029064648140667938,0.10000000894069672,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
mpc,ground_truth,curvy,1700.0,0.05,0.1,1.0,153,1627,70.0,0.07776132966359377,0.12203089697690041,0.3299843965937178,1.4741864765835202,2.2774504146416565,1.2154395322741456,0.005533911531366145,0.045760443434119225,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
