controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,118,1601,120.0,0.4652306724277757,0.7758320029054995,4.202616805738789,9.559521937596662,12.29167052494499,2.7300452732663985,0.08519427816830061,0.1600000262260437,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
pid,ground_truth,s_curve,1700.0,0.05,0.1,1.0,118,1601,120.0,0.41718357839085424,0.7454192708972015,3.761080345826113,2.7992789158974323,6.01004539496795,3.9536740501136185,0.023670413974013677,0.6499999761581421,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
mpc,ground_truth,s_curve,1700.0,0.05,0.1,1.0,118,1601,120.0,0.4547361282121022,0.781474240632233,4.4219630364609515,11.46107757093242,17.004035707330424,2.0477713545641776,0.07193902163957629,0.30000004172325134,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
