controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.165267910808325,83.0245590209961,13.41466236114502,1.2496118363511381,12.639277052537752,1.928638035820357e-06,3.99474163437219e-06,1.928638035820357e-06,3.99474163437219e-06,-1.2073286598024424e-05,-1.9098662050964776e-05,1.0,0.0,13.88888888888889,11,6,5.949582576751709,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.215267911553383,82.94438171386719,13.414420127868652,1.8871627468886238,12.001726142000265,2.1390545202188554e-05,-2.024002428502314e-05,2.1390545202188554e-05,2.024002428502314e-05,5.244210115051828e-06,1.7317496713076252e-05,1.0,0.0,13.88888888888889,11,6,5.869311332702637,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.26526791229844,82.83280181884766,13.414090156555176,2.4601800379510026,11.428708850937888,4.133892737307604e-05,-8.522115488318605e-05,4.133892737307604e-05,8.522115488318605e-05,0.00017236803250852972,0.0001671238223934779,1.0,0.0,13.88888888888889,11,6,5.757664680480957,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.3152679130435,82.69560241699219,13.413719177246094,2.935481499911297,10.953407388977592,3.11120544623112e-05,-4.3409525768645096e-05,3.11120544623112e-05,4.3409525768645096e-05,4.5853252231609076e-05,-0.00012651478027692065,1.0,0.0,13.88888888888889,11,6,5.620423316955566,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.365267913788557,82.53575897216797,13.413272857666016,3.368384543221684,10.520504345667206,3.3309313542685334e-05,-5.432848623776465e-05,3.3309313542685334e-05,5.432848623776465e-05,9.544346539769322e-05,4.959021316608414e-05,1.0,0.0,13.88888888888889,11,6,5.4605560302734375,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.415267914533615,82.35545349121094,13.412773132324219,3.7630706402307346,10.125818248658154,3.205892575241197e-05,-4.8735847949288313e-05,3.205892575241197e-05,4.8735847949288313e-05,7.490008283639327e-05,-2.054338256129995e-05,1.0,0.0,13.88888888888889,11,6,5.280237197875977,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.465267915278673,82.15612030029297,13.41222095489502,4.135575231796287,9.753313657092601,3.0392456123530184e-05,-4.314320965903562e-05,3.0392456123530184e-05,4.314320965903562e-05,6.936913268873468e-05,-5.5309501476585865e-06,1.0,0.0,13.88888888888889,11,6,5.080896854400635,RoadOption.STRAIGHT,72.07527160644531,13.384241104125977,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.51526791602373,81.93856048583984,13.41161823272705,4.494871042098884,9.394017846790005,2.8628359901833322e-05,-3.834951969672318e-05,2.8628359901833322e-05,3.834951969672318e-05,5.620440060738474e-05,-1.3164732081349939e-05,1.0,0.0,13.88888888888889,12,6,4.863332748413086,RoadOption.STRAIGHT,71.07527160644531,13.381462097167969,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.56526791676879,81.70329284667969,13.410966873168945,4.846109670882743,9.042779218006146,2.575572516956212e-05,-3.249056529952554e-05,2.575572516956212e-05,3.249056529952554e-05,5.040206451667473e-05,-5.802336090710014e-06,1.0,0.0,13.88888888888889,12,7,5.628058910369873,RoadOption.STRAIGHT,71.07527160644531,13.381462097167969,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.615267917513847,81.45060729980469,13.410265922546387,5.191941684633716,8.696947204255174,2.4623826654909114e-05,-2.79631914459344e-05,2.4623826654909114e-05,2.79631914459344e-05,3.605246456572786e-05,-1.4349599950946867e-05,1.0,0.0,13.88888888888889,12,7,5.375371932983398,RoadOption.STRAIGHT,71.07527160644531,13.381462097167969,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.665267918258905,81.18099212646484,13.40951919555664,5.505834797948401,8.383054090940488,2.2229618921362423e-05,-2.4767398137726104e-05,2.2229618921362423e-05,2.4767398137726104e-05,3.8211113860597834e-05,2.1586492948699743e-06,1.0,0.0,13.88888888888889,12,7,5.10575532913208,RoadOption.STRAIGHT,71.07527160644531,13.381462097167969,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.715267919003963,80.90309143066406,13.408748626708984,5.6185771491883,8.270311739700588,2.065608167203803e-05,-2.0506340393744438e-05,2.065608167203803e-05,2.0506340393744438e-05,2.5183504476444796e-05,-1.3027609384153038e-05,1.0,0.0,13.88888888888889,13,7,4.827853679656982,RoadOption.STRAIGHT,70.07527160644531,13.378684997558594,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,18.76526791974902,80.61819458007812,13.407958984375,5.7676263459772485,8.12126254291164,1.8193493413526732e-05,-1.8109495412588217e-05,1.8193493413526732e-05,1.8109495412588217e-05,2.301092717971187e-05,-2.172577296732925e-06,1.0,0.0,13.88888888888889,13,8,5.542959690093994,RoadOption.STRAIGHT,70.07527160644531,13.378684997558594,3.144371129555073,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
