controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.599157817661762,102.56617736816406,43.965667724609375,0.4899999797344208,13.398888909154469,3.0516868441705498e-05,-7.989483270520736e-07,3.0516868441705498e-05,7.989483270520736e-07,-5.741584755014628e-05,-5.741584755014628e-05,1.0,0.0,13.88888888888889,10,0,0.5852999687194824,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.64915781840682,102.56617736816406,43.965667724609375,0.9800000786781311,12.908888810210758,3.361541430704079e-05,-7.989483270520736e-07,3.361541430704079e-05,7.989483270520736e-07,-6.395676609827206e-05,-6.540918548125774e-06,1.0,0.0,13.88888888888889,10,5,5.029735565185547,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.69915781915188,102.56617736816406,43.965667724609375,1.470000147819519,12.41888874106937,3.361541430704079e-05,-7.989483270520736e-07,3.361541430704079e-05,7.989483270520736e-07,-6.384617881849408e-05,1.1058727977797389e-07,1.0,0.0,13.88888888888889,10,5,5.023218631744385,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.749157819896936,102.56617736816406,43.965667724609375,1.9600002765655518,11.928888612323338,3.361541430704079e-05,-7.989483270520736e-07,3.361541430704079e-05,7.989483270520736e-07,-6.375771044986323e-05,8.846836863085628e-08,1.0,0.0,13.88888888888889,10,5,5.015516757965088,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.799157820641994,102.56617736816406,43.965667724609375,2.450000286102295,11.438888602786594,3.361541430704079e-05,-7.989483270520736e-07,3.361541430704079e-05,7.989483270520736e-07,-6.368692993419245e-05,7.078051567077637e-08,1.0,0.0,13.88888888888889,10,5,5.0079193115234375,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.849157821387053,102.56617736816406,43.965667724609375,2.93999981880188,10.94888907008701,3.361541430704079e-05,-7.989483270520736e-07,3.361541430704079e-05,7.989483270520736e-07,-6.363030843203887e-05,5.662150215357542e-08,1.0,0.0,13.88888888888889,10,5,5.0020833015441895,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.89915782213211,102.56617736816406,43.96567153930664,2.067153692264632,11.821735196624257,3.3589398948860594e-05,-7.989483270520736e-07,3.3589398948860594e-05,7.989483270520736e-07,-6.353008939186111e-05,1.0021904017776251e-07,1.0,0.0,13.88888888888889,11,5,5.000004291534424,RoadOption.STRAIGHT,102.49119567871094,54.96541213989258,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.94915782287717,102.56617736816406,43.96567153930664,0.7392764687560425,13.149612420132847,3.2683264699844006e-05,-7.989483270520736e-07,3.2683264699844006e-05,7.989483270520736e-07,-6.158196629257873e-05,1.948123099282384e-06,1.0,0.0,13.88888888888889,10,6,6.000221252441406,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,16.999157823622227,102.56617736816406,43.96567153930664,0.11257963627700131,13.776309252611888,3.3589398948860594e-05,-7.989483270520736e-07,3.3589398948860594e-05,7.989483270520736e-07,-6.349887553369626e-05,-1.916909241117537e-06,1.0,0.0,13.88888888888889,10,5,5.00045919418335,RoadOption.STRAIGHT,102.49800872802734,53.96543502807617,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,17.049157824367285,102.56614685058594,43.97121047973633,0.36396706464607465,13.524921824242815,2.633196731385845e-05,-5.459480234559777e-06,2.633196731385845e-05,5.459480234559777e-06,-3.831849971902557e-05,2.5180375814670697e-05,1.0,0.0,13.88888888888889,11,5,4.994877815246582,RoadOption.STRAIGHT,102.49119567871094,54.96541213989258,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,17.099157825112343,102.56584930419922,44.0163459777832,1.2491387589593066,12.639750129929583,1.5151582390966756e-05,1.7310547084647965e-06,1.5151582390966756e-05,1.7310547084647965e-06,-3.026908052561339e-05,8.049419193412177e-06,1.0,0.0,13.88888888888889,11,6,5.94957160949707,RoadOption.STRAIGHT,102.49119567871094,54.96541213989258,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,17.1491578258574,102.56529998779297,44.09708786010742,1.9134773427903575,11.975411546098531,1.3814143113209665e-05,-2.024002428457905e-05,1.3814143113209665e-05,2.024002428457905e-05,2.732833854679484e-05,5.759741907240823e-05,1.0,0.0,13.88888888888889,11,6,5.868734836578369,RoadOption.STRAIGHT,102.49119567871094,54.96541213989258,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,17.19915782660246,102.56452941894531,44.21017837524414,2.489107557395325,11.399781331493564,1.3113762675188989e-05,-1.9707392066692364e-05,1.3113762675188989e-05,1.9707392066692364e-05,3.070376260438934e-05,3.3754240575945005e-06,1.0,0.0,13.88888888888889,11,6,5.755575180053711,RoadOption.STRAIGHT,102.49119567871094,54.96541213989258,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,s_curve,1700.0,0.05,0.1,1.0,17.249157827347517,102.56358337402344,44.34908676147461,2.967111871855261,10.921777017033628,1.1813431617754833e-05,-1.265001517758435e-05,1.1813431617754833e-05,1.265001517758435e-05,1.327765221503796e-05,-1.742611038935138e-05,1.0,0.0,13.88888888888889,11,6,5.616622447967529,RoadOption.STRAIGHT,102.49119567871094,54.96541213989258,-4.705568624832996,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
