controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,15.9532785192132,-67.25457000732422,27.963756561279297,0.4899999797344208,13.398888909154469,-0.033411151412376904,7.022006975887507e-09,0.033411151412376904,7.022006975887507e-09,0.019243402406573296,0.019243402406573296,1.0,0.0,13.88888888888889,10,0,0.5862528681755066,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.003278519958258,-67.25457000732422,27.963756561279297,0.9800000786781311,12.908888810210758,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.025288458913564682,0.006045056506991386,1.0,0.0,13.88888888888889,10,5,5.0298542976379395,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.053278520703316,-67.25457000732422,27.963756561279297,1.470000147819519,12.41888874106937,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.029519734904170036,0.004231275990605354,1.0,0.0,13.88888888888889,10,5,5.023337364196777,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.103278521448374,-67.25457000732422,27.963756561279297,1.9600002765655518,11.928888612323338,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.03248150274157524,0.0029617678374052048,1.0,0.0,13.88888888888889,10,5,5.0156354904174805,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.153278522193432,-67.25457000732422,27.963756561279297,2.450000286102295,11.438888602786594,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.03455463424324989,0.002073131501674652,1.0,0.0,13.88888888888889,10,5,5.008038520812988,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.20327852293849,-67.25457000732422,27.963756561279297,2.93999981880188,10.94888907008701,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.03600573539733887,0.001451101154088974,1.0,0.0,13.88888888888889,10,5,5.00220251083374,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.253278523683548,-67.25457000732422,27.963756561279297,2.0671522617480282,11.821736627140861,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.03702143207192421,0.0010156966745853424,1.0,0.0,13.88888888888889,10,5,5.00012731552124,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.303278524428606,-67.25457000732422,27.963756561279297,0.7392767071737097,13.14961218171518,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.03773235157132149,0.0007109194993972778,1.0,0.0,13.88888888888889,10,5,5.0003886222839355,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.353278525173664,-67.25457000732422,27.963756561279297,0.11257972568274832,13.776309163206141,-0.033411667506833685,7.022006975887507e-09,0.033411667506833685,7.022006975887507e-09,0.038229942321777344,0.0004975907504558563,1.0,0.0,13.88888888888889,10,5,5.000582218170166,RoadOption.STRAIGHT,-57.254695892333984,28.024951934814453,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,16.403278525918722,-67.24903869628906,27.963842391967773,0.36380598913219886,13.52508289975669,-0.03334120599641036,8.274940849561929e-05,0.03334120599641036,8.274940849561929e-05,0.03847452253103256,0.0002445802092552185,1.0,0.0,13.88888888888889,11,5,4.99500846862793,RoadOption.STRAIGHT,-56.254695892333984,28.02773094177246,0.0027785214782865796,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
