controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,curvy,400.0,0.05,0.1,1.0,71,418,70.0,0.5697136389063617,0.9232980858322843,1.980924716219021,2.9021542258694706,4.914039415849728,2.025810070724447,0.007451947764527252,0.12123043462634087,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
pid,ground_truth,curvy,400.0,0.05,0.1,1.0,71,418,70.0,0.2748065346730259,0.42108922985137937,1.1277491789916652,2.5856283445081005,4.441744857234548,3.487891916329421,0.012262906713622812,0.10000000521540642,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
mpc,ground_truth,curvy,400.0,0.05,0.1,1.0,71,418,70.0,0.10512112381444584,0.18988070620228287,0.5126111571732181,1.9727163574717481,3.5716120918260787,2.2081569320192096,0.007919541691496437,0.06418584287166595,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
