controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,12.922533053904772,-45.31125259399414,-1.6943949460983276,0.4899999797344208,7.843333353598913,0.0,7.989483270520736e-07,0.0,7.989483270520736e-07,-6.093008551033563e-07,-6.093008551033563e-07,1.0,0.0,8.333333333333334,10,0,0.5853000283241272,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,12.97253305464983,-45.31125259399414,-1.6943949460983276,0.9800000786781311,7.353333254655203,2.2912568734701627e-06,7.989483270520736e-07,2.2912568734701627e-06,7.989483270520736e-07,-2.0853045498370193e-05,-2.0243744643266837e-05,1.0,0.0,8.333333333333334,10,5,5.029734134674072,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.022533055394888,-45.31125259399414,-1.6943949460983276,1.470000147819519,6.863333185513815,2.2912568734701627e-06,7.989483270520736e-07,2.2912568734701627e-06,7.989483270520736e-07,-5.039370807935484e-05,-2.9540662580984645e-05,1.0,0.0,8.333333333333334,10,5,5.023216724395752,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.072533056139946,-45.31125259399414,-1.6943949460983276,1.9600002765655518,6.373333056767782,2.2912568734701627e-06,7.989483270520736e-07,2.2912568734701627e-06,7.989483270520736e-07,-8.456953946733847e-05,-3.4175831387983635e-05,1.0,0.0,8.333333333333334,10,5,5.015515327453613,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.122533056885004,-45.31125259399414,-1.6943949460983276,2.450000286102295,5.883333047231039,2.2912568734701627e-06,7.989483270520736e-07,2.2912568734701627e-06,7.989483270520736e-07,-0.00011996539251413196,-3.539585304679349e-05,1.0,0.0,8.333333333333334,10,5,5.007917881011963,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.172533057630062,-45.31125259399414,-1.6943949460983276,2.93999981880188,5.393333514531454,2.2912568734701627e-06,7.989483270520736e-07,2.2912568734701627e-06,7.989483270520736e-07,-0.00015449433703906834,-3.452894452493638e-05,1.0,0.0,8.333333333333334,10,5,5.002081394195557,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.22253305837512,-45.31125259399414,-1.6943953037261963,2.0671555996106528,6.266177733722682,2.2922632473935944e-06,7.989483270520736e-07,2.2922632473935944e-06,7.989483270520736e-07,-0.00018695424660108984,-3.2459909562021494e-05,1.0,0.0,8.333333333333334,10,5,5.000006198883057,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.272533059120178,-45.31125259399414,-1.6943955421447754,0.7392759323132684,7.594057401020065,2.292934163344862e-06,7.989483270520736e-07,2.292934163344862e-06,7.989483270520736e-07,-0.0002167220663977787,-2.9767819796688855e-05,1.0,0.0,8.333333333333334,10,5,5.000267505645752,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.322533059865236,-45.31125259399414,-1.6943955421447754,0.11257995665081853,8.220753376682515,2.292934163344862e-06,7.989483270520736e-07,2.292934163344862e-06,7.989483270520736e-07,-0.00024354823108296841,-2.6826164685189724e-05,1.0,0.0,8.333333333333334,10,5,5.000461101531982,RoadOption.STRAIGHT,-45.34944152832031,-11.696622848510742,4.708255754372887,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,13.372533060610294,-45.3112678527832,-1.6999332904815674,0.36396759668562845,7.969365736647705,2.6175702820801366e-06,-4.527373853147054e-06,2.6175702820801366e-06,4.527373853147054e-06,-0.0002635420532897115,-1.999382220674306e-05,1.0,0.0,8.333333333333334,11,5,4.9948811531066895,RoadOption.STRAIGHT,-45.35251235961914,-12.69290542602539,4.710376695865026,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
