controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,curvy,700.0,0.05,0.1,1.0,103,682,30.0,0.444494650899016,0.6555907746873075,2.157690373151202,6.771370206018787,9.9513263248866,0.6315572605119235,0.023426990270893056,0.060000017285346985,4.0,0.8,6.0,0.5,2.5,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
pid,ground_truth,curvy,700.0,0.05,0.1,1.0,103,682,30.0,0.6014569296301693,0.8450516370115039,2.9112361006122116,7.324845086305936,10.785403376203414,1.8267862190047273,0.04167714903775717,0.10000000894069672,4.0,0.8,6.0,0.5,2.5,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
mpc,ground_truth,curvy,700.0,0.05,0.1,1.0,103,682,30.0,0.33608400783140324,0.5158804223669633,1.738461300977374,6.720973124683852,10.271434155214886,0.6278393424146198,0.013310613587681331,0.12206588685512543,4.0,0.8,6.0,0.5,2.5,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
