controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,96,677,50.0,0.2529933608023785,0.4570426829913616,2.1774467348462645,3.2136316593401597,6.45185026432205,1.065800496424506,0.06272183940331487,0.20000001788139343,4.0,0.8,6.0,0.5,2.5,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
pid,ground_truth,s_curve,700.0,0.05,0.1,1.0,96,677,50.0,0.4126881260783657,0.7676186740298385,4.444469830099879,4.015926285263017,7.314952483748246,3.652564618101306,0.03718919937963236,0.10000002384185791,4.0,0.8,6.0,0.5,2.5,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
mpc,ground_truth,s_curve,700.0,0.05,0.1,1.0,96,677,50.0,0.15355673402098433,0.31657250366197154,1.8696958043110965,3.2810689328764377,6.769604238276336,1.0455865526308383,0.017010612231627746,0.30000001192092896,4.0,0.8,6.0,0.5,2.5,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
