controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.2929216064513,40.38964080810547,41.94549560546875,0.4899999797344208,18.954444464710022,-5.0005476148316094e-08,-5.32632217886686e-07,5.0005476148316094e-08,5.32632217886686e-07,6.907415581736132e-07,6.907415581736132e-07,1.0,0.0,19.444444444444443,10,0,0.5853000283241272,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.34292160719633,40.38964080810547,41.94549560546875,0.9800000786781311,18.46444436576631,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,5.603106274065794e-06,4.912364715892181e-06,1.0,0.0,19.444444444444443,10,5,5.029740333557129,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.3929216079414,40.38964080810547,41.94549560546875,1.470000147819519,17.974444296624924,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,9.09512527869083e-06,3.4920190046250354e-06,1.0,0.0,19.444444444444443,10,5,5.023222923278809,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.44292160868645,40.38964080810547,41.94549560546875,1.9600002765655518,17.48444416787889,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.1367196748324204e-05,2.2720714696333744e-06,1.0,0.0,19.444444444444443,10,5,5.01552152633667,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.4929216094315,40.38964080810547,41.94549560546875,2.450000286102295,16.994444158342148,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.2845851415477227e-05,1.4786546671530232e-06,1.0,0.0,19.444444444444443,10,5,5.0079240798950195,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.54292161017656,40.38964080810547,41.94549560546875,2.93999981880188,16.504444625642563,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.3808423318550922e-05,9.625719030736946e-07,1.0,0.0,19.444444444444443,10,5,5.0020880699157715,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.5929216109216,40.38964080810547,41.94549560546875,2.0671529770071913,17.377291467437253,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.4466550055658445e-05,6.581267371075228e-07,1.0,0.0,19.444444444444443,10,5,5.000012397766113,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.6429216116667,40.38964080810547,41.94549560546875,0.7392770051968731,18.70516743924757,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.4873652617097832e-05,4.071025614393875e-07,1.0,0.0,19.444444444444443,10,5,5.000274181365967,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.69292161241174,40.38964080810547,41.94549560546875,0.11257962882521794,19.331864815619223,8.696556589860016e-07,-5.32632217886686e-07,8.696556589860016e-07,5.32632217886686e-07,1.5134068235056475e-05,2.6041561795864254e-07,1.0,0.0,19.444444444444443,10,5,5.000467777252197,RoadOption.STRAIGHT,40.52072525024414,51.94464111328125,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,296.7429216131568,40.38970947265625,41.95103454589844,0.36398024442178606,19.080464200022657,4.818956030619437e-06,-5.06000607103374e-06,4.818956030619437e-06,5.06000607103374e-06,1.9184817574569024e-05,4.050749339512549e-06,1.0,0.0,19.444444444444443,11,5,4.99488639831543,RoadOption.STRAIGHT,40.533836364746094,52.94455337524414,1.557687315803145,2.4,1.0,4.0,2.5,9.0,0.6,0.01,0.06,0.55,0.14,0.2,0.35,1.4,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
