controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,curvy,400.0,0.05,0.1,1.0,71,418,70.0,0.5009183796652382,0.843581732410747,2.079760535808335,1.9407028680292155,3.2857761259884337,2.16960139583899,0.008791707519863912,0.11133977398276329,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
pid,ground_truth,curvy,400.0,0.05,0.1,1.0,71,418,70.0,0.27400951297623943,0.4262271293399601,1.1073133822462846,2.386986344096231,4.1760039324716285,3.4586219979300457,0.009403954444461552,0.6499999761581421,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
mpc,ground_truth,curvy,400.0,0.05,0.1,1.0,71,418,70.0,0.10183554877534197,0.1857541858685523,0.5072507459988946,1.8941744057088061,3.478284572249872,2.196361199497771,0.007909976738323776,0.08361738547682762,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
