controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.3921588845551,-111.120361328125,72.89886474609375,0.4899999797344208,13.398888909154469,0.06184580210174586,0.0,0.06184580210174586,0.0,-0.21321286261081696,-0.21321286261081696,1.0,0.0,13.88888888888889,10,0,0.5885584354400635,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.44215888530016,-111.120361328125,72.89886474609375,0.9800000786781311,12.908888810210758,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.08678712695837021,0.29999998956918716,1.0,0.0,13.88888888888889,10,5,5.082035541534424,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.492158886045218,-111.120361328125,72.89886474609375,1.470000147819519,12.41888874106937,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.051317594945430756,-0.03546953201293945,1.0,0.0,13.88888888888889,10,5,5.075585842132568,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.542158886790276,-111.120361328125,72.89886474609375,1.9600002765655518,11.928888612323338,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.04831889644265175,-0.002998698502779007,1.0,0.0,13.88888888888889,10,5,5.067963600158691,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.592158887535334,-111.120361328125,72.89886474609375,2.450000286102295,11.438888602786594,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.0457703061401844,-0.002548590302467346,1.0,0.0,13.88888888888889,10,5,5.0604448318481445,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.64215888828039,-111.120361328125,72.89886474609375,2.93999981880188,10.94888907008701,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.043604277074337006,-0.002166029065847397,1.0,0.0,13.88888888888889,10,5,5.054669380187988,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.69215888902545,-111.120361328125,72.89886474609375,2.0671541690971558,11.821734719791733,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.04176338389515877,-0.001840893179178238,1.0,0.0,13.88888888888889,10,5,5.052615642547607,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.742158889770508,-111.120361328125,72.89886474609375,0.7392765879644425,13.149612300924447,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.040198810398578644,-0.001564573496580124,1.0,0.0,13.88888888888889,10,5,5.052874565124512,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.792158890515566,-111.120361328125,72.89886474609375,0.11258014291534352,13.776308745973546,-0.05630634284017504,0.029847511075117517,0.05630634284017504,0.029847511075117517,0.03886907175183296,-0.0013297386467456818,1.0,0.0,13.88888888888889,10,5,5.053065776824951,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.842158891260624,-111.1204833984375,72.9043960571289,0.36378341008771875,13.525105478801171,-0.05608120491577031,0.029932066439727123,0.05608120491577031,0.029932066439727123,0.03667760640382767,-0.002191465348005295,1.0,0.0,13.88888888888889,10,5,5.047493934631348,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.892158892005682,-111.12184143066406,72.9501724243164,1.2319829392396133,12.656905949649277,-0.0538702597578247,0.030676153648295568,0.0538702597578247,0.030676153648295568,0.0259326733648777,-0.010744933038949966,1.0,0.0,13.88888888888889,10,5,5.00161075592041,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.94215889275074,-111.12398529052734,73.03282928466797,1.9188726070521933,11.970016281836696,-0.05018626989727042,0.03176485390191974,0.05018626989727042,0.03176485390191974,-0.0059382617473602295,-0.03187093511223793,1.0,0.0,13.88888888888889,10,5,4.918863296508789,RoadOption.STRAIGHT,-110.80823516845703,83.06523132324219,7.7654586919724675,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,17.992158893495798,-111.12566375732422,73.14666748046875,2.5012098873789372,11.387679001509952,-0.046386455739375804,0.03179494762223811,0.046386455739375804,0.03179494762223811,-0.023304147645831108,-0.01736588589847088,1.0,0.0,13.88888888888889,11,5,4.804965972900391,RoadOption.STRAIGHT,-110.71053314208984,84.08502197265625,7.751481889939513,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,18.042158894240856,-111.12631225585938,73.28591918945312,2.972479443226811,10.916409445662078,-0.11550877981661731,0.044790774267661426,0.11550877981661731,0.044790774267661426,0.2732587456703186,0.2965628933161497,1.0,0.0,13.88888888888889,11,6,5.690008640289307,RoadOption.STRAIGHT,-110.71053314208984,84.08502197265625,7.751481889939513,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,18.092158894985914,-111.13118743896484,73.44664001464844,3.375586563604156,10.513302325284734,-0.10539517672012412,0.047410792148081526,0.10539517672012412,0.047410792148081526,-0.0013545005349442363,-0.27461324620526284,1.0,0.0,13.88888888888889,11,6,5.529340744018555,RoadOption.STRAIGHT,-110.71053314208984,84.08502197265625,7.751481889939513,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,18.142158895730972,-111.13832092285156,73.62682342529297,3.760722032395748,10.128166856493142,-0.09238981026480304,0.05067183290288302,0.09238981026480304,0.05067183290288302,-0.04931364208459854,-0.047959141549654305,1.0,0.0,13.88888888888889,11,6,5.349266529083252,RoadOption.STRAIGHT,-110.71053314208984,84.08502197265625,7.751481889939513,7.5,0.35,10.0,0.25,1.2,0.6,0.01,0.06,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
