controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,speed_plan_risk,speed_plan_reason,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,4.965392809361219,-110.19751739501953,-9.790719985961914,1.2503627853581876,27.582970547975147,0.0659197847466664,-0.0006301039139127163,0.0659197847466664,0.0006301039139127163,-0.032411132007837296,0.0012198612093925476,1.0,0.0,28.833333333333336,0.726102117766574,curvature,11,5,4.974764823913574,RoadOption.STRAIGHT,-110.25460052490234,1.183101773262024,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.0153928101062775,-110.19696044921875,-9.708574295043945,1.9194324187821414,26.463900914551196,0.06444341613378651,-0.0015338476298309978,0.06444341613378651,0.0015338476298309978,-0.028067337349057198,0.004343794658780098,1.0,0.0,28.383333333333336,0.7260645263685214,curvature,11,6,5.892403602600098,RoadOption.STRAIGHT,-110.25460052490234,1.183101773262024,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.0653928108513355,-110.19629669189453,-9.595046043395996,2.497562236352221,25.435771096981117,0.06250717628255532,-0.0027827370230237847,0.06250717628255532,0.0027827370230237847,-0.02334342524409294,0.004723912104964256,1.0,0.0,27.933333333333337,0.7260645263685214,curvature,11,6,5.778809547424316,RoadOption.STRAIGHT,-110.25460052490234,1.183101773262024,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.115392811596394,-110.19562530517578,-9.455911636352539,2.970866671418396,24.512466661914942,0.06027629126610005,-0.004103398607593789,0.06027629126610005,0.004103398607593789,-0.019762074574828148,0.0035813506692647934,1.0,0.0,27.483333333333338,0.7260645263685214,curvature,11,6,5.639634132385254,RoadOption.STRAIGHT,-110.25460052490234,1.183101773262024,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.165392812341452,-110.19497680664062,-9.294767379760742,3.3895658249478355,23.6437675083855,0.05782158729580408,-0.005393833313791951,0.05782158729580408,0.005393833313791951,-0.013551294803619385,0.006210779771208763,1.0,0.0,27.03333333333334,0.7260645263685214,curvature,11,6,5.4784674644470215,RoadOption.STRAIGHT,-110.25460052490234,1.183101773262024,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.21539281308651,-110.19449615478516,-9.11368465423584,3.7759773157554775,22.807356017577863,0.05531123161209677,-0.006474677242200855,0.05531123161209677,0.006474677242200855,-0.010343698784708977,0.003207596018910408,1.0,0.0,26.58333333333334,0.7260645263685214,curvature,11,6,5.297372341156006,RoadOption.STRAIGHT,-110.25460052490234,1.183101773262024,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.265392813831568,-110.19419860839844,-8.913858413696289,4.1436003065040286,21.989733026829313,0.0527738761371274,-0.0073609772529792394,0.0527738761371274,0.0073609772529792394,-0.005405747797340155,0.004937950987368822,1.0,0.0,26.13333333333334,0.7260645263685214,curvature,11,6,5.097539901733398,RoadOption.STRAIGHT,-110.25460052490234,1.183101773262024,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.315392814576626,-110.19414520263672,-8.695996284484863,4.499985590712347,21.183347742620995,0.05027848388957044,-0.007969642720116354,0.05027848388957044,0.007969642720116354,-0.0033419548999518156,0.002063792897388339,1.0,0.0,25.68333333333334,0.7260645263685214,curvature,12,6,4.879674434661865,RoadOption.STRAIGHT,-110.26580810546875,2.183039426803589,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.365392815321684,-110.19432067871094,-8.46052360534668,4.849479804349845,20.383853528983497,0.04781585974871907,-0.008364589509775477,0.04781585974871907,0.008364589509775477,6.887155905133113e-05,0.0034108264590031467,1.0,0.0,25.23333333333334,0.7260413918332479,curvature,12,7,5.644156455993652,RoadOption.STRAIGHT,-110.26580810546875,2.183039426803589,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.415392816066742,-110.19479370117188,-8.207701683044434,5.1942491144799225,19.58908421885342,0.045455002627073735,-0.00850626967976753,0.045455002627073735,0.00850626967976753,0.0009128347737714648,0.0008439632147201337,1.0,0.0,24.783333333333342,0.7260413918332479,curvature,12,7,5.39133358001709,RoadOption.STRAIGHT,-110.26580810546875,2.183039426803589,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.4653928168118,-110.19551849365234,-7.9380011558532715,5.507352012871641,18.8259813204617,0.04315670949982754,-0.008475643327231719,0.04315670949982754,0.008475643327231719,0.002854736754670739,0.0019419019808992743,1.0,0.0,24.333333333333343,0.7260413918332479,curvature,12,7,5.121632099151611,RoadOption.STRAIGHT,-110.26580810546875,2.183039426803589,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.515392817556858,-110.19644927978516,-7.6600341796875,5.619644576002486,18.263688757330858,0.04097173947312663,-0.008304402069139627,0.04097173947312663,0.008304402069139627,0.002862932626157999,8.195871487259865e-06,1.0,0.0,23.883333333333344,0.7260413918332479,curvature,13,7,4.843663215637207,RoadOption.STRAIGHT,-110.27702331542969,3.182976484298706,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.565392818301916,-110.19756317138672,-7.375082969665527,5.768631360030756,17.664701973302588,0.03889657262153966,-0.00804594228534583,0.03889657262153966,0.00804594228534583,0.0027311828453093767,-0.00013174978084862232,1.0,0.0,23.433333333333344,0.7260949157754616,curvature,13,8,5.558680057525635,RoadOption.STRAIGHT,-110.27702331542969,3.182976484298706,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.615392819046974,-110.19883728027344,-7.078882217407227,6.034741350578955,16.94859198275439,0.03685032641990839,-0.0077599187842718464,0.03685032641990839,0.0077599187842718464,0.003540600650012493,0.0008094178047031164,1.0,0.0,22.983333333333345,0.7260949157754616,curvature,13,8,5.262476921081543,RoadOption.STRAIGHT,-110.27702331542969,3.182976484298706,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.665392819792032,-110.2003173828125,-6.769224643707275,6.302640714006967,16.23069261932638,0.03485921611110763,-0.00743248312824818,0.03485921611110763,0.00743248312824818,0.0033381078392267227,-0.00020249281078577042,1.0,0.0,22.533333333333346,0.7260949157754616,curvature,14,8,4.952816009521484,RoadOption.STRAIGHT,-110.2882308959961,4.182913303375244,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.71539282053709,-110.20198059082031,-6.443638801574707,6.656721989748726,15.426611343584621,0.0328669858461272,-0.006942195171564691,0.0328669858461272,0.006942195171564691,0.0030087516643106937,-0.000329356174916029,1.0,0.0,22.083333333333346,0.7260762996939318,curvature,14,9,5.627205848693848,RoadOption.STRAIGHT,-110.2882308959961,4.182913303375244,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.765392821282148,-110.20387268066406,-6.100809574127197,6.99619306365222,14.637140269681126,0.030915997881777322,-0.00653579678921723,0.030915997881777322,0.00653579678921723,0.0028137904591858387,-0.00019496120512485504,1.0,0.0,21.633333333333347,0.7260762996939318,curvature,14,9,5.2843708992004395,RoadOption.STRAIGHT,-110.2882308959961,4.182913303375244,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.815392822027206,-110.20601654052734,-5.739049434661865,7.383225912790708,13.80010742054264,0.02900455724825083,-0.006256164874759662,0.02900455724825083,0.006256164874759662,0.00437904940918088,0.001565258949995041,1.0,0.0,21.183333333333348,0.7260762996939318,curvature,15,9,4.922604560852051,RoadOption.STRAIGHT,-110.2994384765625,5.182850360870361,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
lqr,ground_truth,curvy,3000.0,0.05,0.1,1.0,5.8653928227722645,-110.20844268798828,-5.359371662139893,7.734888522606395,12.998444810726953,0.0271775491100281,-0.005709018428802892,0.0271775491100281,0.005709018428802892,0.0033171107061207294,-0.0010619387030601501,1.0,0.0,20.73333333333335,0.726102117766574,curvature,15,10,5.542646408081055,RoadOption.STRAIGHT,-110.2994384765625,5.182850360870361,1.5820054386649856,2.8,1.2,4.5,3.0,10.0,0.6,0.01,0.06,0.55,0.16,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.45,0.01,0.1,1.0,0.28
