controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,92,679,50.0,0.16922994821176215,0.3084807678737581,2.14599002949658,4.922881205143857,8.666434298447411,1.2109963118864482,0.2003350162435402,0.30000004172325134,7.5,0.35,10.0,0.25,1.2,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
pid,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,92,679,50.0,0.42507624524321247,0.8180311932533404,4.524485594378837,3.933616093279252,7.8356387431219545,3.6698063885995498,0.030332191594323644,0.10000000894069672,7.5,0.35,10.0,0.25,1.2,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
mpc,ground_truth,gentle_curve,700.0,0.05,0.1,1.0,92,679,50.0,0.1497415752481613,0.32436882237987014,1.8390028902112339,3.1969007019704527,7.016647706057426,1.054057868801697,0.015669910942069484,0.2988280840218067,7.5,0.35,10.0,0.25,1.2,0.65,0.3,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14
