controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,22.905007764697075,62.02554702758789,16.90589141845703,0.4899999797344208,13.398888909154469,-0.04955884039605682,2.663161087212984e-07,0.04955884039605682,2.663161087212984e-07,0.09577246010303497,0.09577246010303497,1.0,0.0,13.88888888888889,10,0,0.5873944163322449,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,22.955007765442133,62.02554702758789,16.90589141845703,0.9800000786781311,12.908888810210758,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577180445194244,-6.556510925292969e-07,1.0,0.0,13.88888888888889,10,5,5.0299787521362305,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.00500776618719,62.02554702758789,16.90589141845703,1.470000147819519,12.41888874106937,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577181935310364,1.4901161193847656e-08,1.0,0.0,13.88888888888889,10,5,5.023462295532227,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.05500776693225,62.02554702758789,16.90589141845703,1.9600002765655518,11.928888612323338,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577182680368423,7.450580596923828e-09,1.0,0.0,13.88888888888889,10,5,5.015760898590088,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.105007767677307,62.02554702758789,16.90589141845703,2.450000286102295,11.438888602786594,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577183425426483,7.450580596923828e-09,1.0,0.0,13.88888888888889,10,5,5.008163928985596,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.155007768422365,62.02554702758789,16.90589141845703,2.93999981880188,10.94888907008701,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577184170484543,7.450580596923828e-09,1.0,0.0,13.88888888888889,10,5,5.002327919006348,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.205007769167423,62.02554702758789,16.90589141845703,2.067152261747285,11.821736627141604,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577184915542603,7.450580596923828e-09,1.0,0.0,13.88888888888889,10,5,5.000252723693848,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.25500776991248,62.02554702758789,16.90589141845703,0.7392755746852978,13.149613314203592,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577184915542603,0.0,1.0,0.0,13.88888888888889,10,5,5.000514030456543,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.30500777065754,62.02554702758789,16.90589141845703,0.11257976293569973,13.776309125953189,-0.04955826307423112,0.0,0.04955826307423112,0.0,0.09577185660600662,7.450580596923828e-09,1.0,0.0,13.88888888888889,10,5,5.000707626342773,RoadOption.STRAIGHT,52.02572250366211,16.828548431396484,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
lqr,ground_truth,straight,1700.0,0.05,0.1,1.0,23.355007771402597,62.02002716064453,16.905698776245117,0.3629143990710563,13.525974489817832,-0.04938095987397549,0.00020932446168009378,0.04938095987397549,0.00020932446168009378,0.09495601803064346,-0.0008158385753631592,1.0,0.0,13.88888888888889,11,5,4.995143413543701,RoadOption.STRAIGHT,51.025726318359375,16.825769424438477,-3.1388139113084046,7.5,0.2,6.0,0.1,1.8,0.6,0.01,0.06,0.65,0.3,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
