controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,curvy,1700.0,0.05,0.1,1.0,122,1646,50.0,0.5741517051645086,0.9085208668528014,4.1256415018449175,2.9637575932487423,4.721073733777264,0.8582935058510529,0.011480277558409302,0.1600000038743019,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
pid,ground_truth,curvy,1700.0,0.05,0.1,1.0,122,1646,50.0,0.38146202158349046,0.7063344107993338,3.8255973649135497,3.356565015130022,5.528954884700573,2.0257244636439853,0.041001244133780854,0.6499999761581421,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
mpc,ground_truth,curvy,1700.0,0.05,0.1,1.0,122,1646,50.0,0.14427075834826503,0.2569267514883894,1.3884697094430698,3.064382164642422,5.505043190430089,0.861719305231538,0.015262599167746766,0.29999999701976776,2.8,1.2,4.5,3.0,10.0,0.55,0.16,0.2,0.35,1.5,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
