controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,spawn_index,route_waypoints,target_speed_kmh,mean_abs_e_y,rms_e_y,max_abs_e_y,mean_abs_e_psi_deg,rms_e_psi_deg,mean_abs_speed_error,mean_abs_steer_delta,max_abs_steer_delta,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_max_steer,lqr_max_steer_rate,lqr_derivative_alpha,lqr_curvature_alpha,lqr_feedforward_gain,mpc_horizon,mpc_q_y,mpc_q_psi,mpc_r_steer,mpc_r_steer_rate,mpc_kp_long,mpc_ki_long,mpc_kd_long,mpc_max_steer,mpc_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd,pid_max_throttle,pid_max_brake
lqr,ground_truth,gentle_curve,1700.0,0.05,0.1,1.0,53,1632,70.0,1.7839897858719136,3.144240884516895,7.222324999445518,15.049194637252834,24.54336290434584,7.057495054105526,0.027895776648303866,0.20000001788139343,4.0,0.2,5.0,0.1,2.5,0.6,0.2,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
pid,ground_truth,gentle_curve,1700.0,0.05,0.1,1.0,53,1632,70.0,0.20368965681292253,0.3242879461788822,1.9442643748646198,1.959016852620742,3.081414821725996,2.6277290195012855,0.02821211621368136,0.10000000521540642,4.0,0.2,5.0,0.1,2.5,0.6,0.2,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
mpc,ground_truth,gentle_curve,1700.0,0.05,0.1,1.0,53,1632,70.0,0.07940498080910183,0.13081637394101028,0.7317394274109082,1.508110124569943,2.468079492708862,1.2183013090943735,0.006056749242465479,0.1067987009882927,4.0,0.2,5.0,0.1,2.5,0.6,0.2,0.2,0.35,1.0,12,10.0,14.0,0.9,1.2,0.6,0.01,0.06,0.65,0.3,0.72,0.005,0.38,0.22,0.01,0.14,1.0,0.28
